               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0628,              4.5773,              1.4776,             0.37097,             0.45918,              0.2075,             0.18745,                   0,                   0,                   0,            0.070882,           0.0032353,           0.0032353
                   1,              0.8919,              2.6456,              1.3756,             0.63058,             0.76531,             0.71239,             0.63592,                   0,                   0,                   0,            0.040752,           0.0064386,           0.0064386
                   2,             0.83813,              1.5686,               1.321,             0.90086,             0.88084,             0.91588,             0.79954,                   0,                   0,                   0,             0.01049,           0.0095098,           0.0095098
                   3,             0.79448,              1.0028,              1.3188,             0.86316,             0.88265,             0.92308,             0.81326,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.79575,             0.90422,              1.3195,             0.97079,             0.92857,             0.98052,             0.86296,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.78506,             0.81847,              1.3157,               0.957,             0.90839,              0.9616,             0.82482,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              0.7576,             0.77561,              1.3016,             0.93789,             0.92446,             0.97295,             0.86042,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.74036,              0.6974,              1.2762,             0.95832,             0.93842,             0.97119,             0.87321,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.71408,              0.6811,               1.253,             0.97307,             0.91837,             0.96923,             0.86248,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.75185,             0.71625,              1.2841,             0.91604,             0.94635,             0.95903,              0.8384,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.71829,             0.70003,              1.2494,             0.94535,             0.97091,             0.97784,             0.86958,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.70334,             0.64547,              1.2352,             0.95884,             0.97449,             0.97916,             0.87306,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.65467,              0.6246,               1.215,             0.94591,             0.87245,             0.93453,             0.80486,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.67261,             0.63853,              1.2107,             0.96971,             0.98012,             0.98207,             0.88581,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.63674,             0.60179,              1.1833,             0.95405,             0.95342,             0.98504,             0.85673,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.62295,             0.58506,              1.1954,             0.96124,             0.96429,             0.97687,             0.90626,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.63131,             0.60606,              1.1989,             0.97622,             0.97449,             0.98383,              0.9027,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.64303,             0.58651,              1.2178,             0.97384,             0.97959,             0.97795,             0.89813,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.61543,             0.58554,              1.1874,             0.97332,             0.97959,             0.98425,             0.91449,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.60633,             0.54269,              1.1705,             0.96547,             0.97959,             0.98631,             0.91053,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.57983,             0.53607,              1.1714,             0.96904,             0.98469,             0.98555,             0.92051,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.57098,             0.54267,              1.1634,             0.96998,             0.98926,             0.98011,             0.91228,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.57421,             0.52074,              1.1629,             0.96353,              0.9898,             0.98094,             0.91017,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.58206,             0.52848,              1.1722,             0.96407,              0.9898,             0.98149,              0.9079,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.56822,             0.50376,              1.1612,             0.96471,              0.9898,             0.98258,              0.9112,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.56177,             0.50769,              1.1676,             0.96355,             0.97959,             0.98018,             0.91952,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.55989,             0.49409,              1.1552,             0.94663,             0.97959,             0.97925,             0.90255,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.55101,             0.51171,              1.1578,             0.96666,             0.97449,             0.98378,             0.91741,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,              0.5514,             0.48433,              1.1618,              0.9737,              0.9898,             0.98203,             0.91791,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.53551,             0.47217,              1.1516,             0.97247,              0.9898,              0.9875,             0.91364,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.53765,             0.52223,              1.1425,             0.97297,             0.98469,             0.98774,             0.91312,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,              0.5497,             0.50357,              1.1559,              0.9601,             0.97449,             0.98718,             0.91646,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.53246,             0.47189,               1.149,             0.95271,             0.97449,               0.987,             0.92104,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.53552,              0.4704,              1.1575,             0.97126,             0.98469,             0.98516,             0.92293,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.52744,             0.46405,              1.1373,              0.9653,             0.99347,             0.98575,             0.92849,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.47355,             0.46963,              1.1119,             0.96058,             0.99463,             0.98502,             0.91113,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.45425,             0.39536,              1.1154,             0.97472,              0.9835,             0.98533,             0.91782,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.46146,             0.35918,              1.0964,             0.96981,             0.98327,             0.98965,             0.92146,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.43746,             0.36169,              1.0907,             0.97133,             0.98469,             0.98351,             0.92733,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.44444,             0.35239,              1.0829,             0.97782,             0.97449,              0.9888,              0.9206,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.44155,             0.34487,              1.0933,             0.97095,             0.98469,             0.98512,             0.92878,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.42606,             0.33766,              1.0839,             0.97483,             0.98792,             0.98472,             0.93118,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.40548,              0.3169,              1.0818,             0.97317,              0.9898,             0.99025,             0.93486,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.41321,             0.32107,              1.0917,             0.97301,              0.9898,             0.98908,             0.93557,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.40549,             0.30993,              1.0768,             0.97485,             0.98873,             0.98916,             0.92583,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.42013,             0.32221,              1.0866,             0.97449,             0.98469,             0.98795,             0.93655,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.40454,             0.30577,              1.0924,             0.97055,             0.98469,             0.99215,             0.92763,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.38865,             0.29929,               1.086,             0.97212,             0.98469,             0.98943,             0.93344,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.40073,             0.31391,              1.0831,             0.96349,              0.9898,             0.98866,              0.9342,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.38947,             0.31059,               1.095,             0.96056,             0.99399,             0.98762,             0.94193,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
